id,type,wait_time,exec_time
429,1024-1024,99645500.0,1345724.1379310344
433,1024-1024,19667700.0,1345724.1379310344
412,1024-2048,444364500.0,5355379.310344827
417,1024-4096,361347900.0,21371724.137931034
427,1024-8192,225024300.0,85355862.06896552
434,512-128,86023000.0,8081.408376963351
435,512-256,66041000.0,29671.675392670157
438,512-256,6025700.0,29671.675392670157
436,512-1024,46450200.0,446058.6387434555
437,512-1024,26471800.0,446058.6387434555
418,4096-512,409625100.0,1794325.1928020567
423,4096-2048,336102600.0,28328084.832904886
439,4096-1024,22834800.0,7112075.835475579
403,4096-4096,823022400.0,113043766.06683806
414,4096-8192,974985600.0,451714652.95629823
449,512-128,275213800.0,8081.408376963351
461,512-256,35235400.0,29671.675392670157
447,512-512,315319500.0,113754.03141361257
442,512-1024,415957900.0,446058.6387434555
446,512-1024,335681500.0,446058.6387434555
444,256-256,376997600.0,18064.642335766424
453,256-1024,196940600.0,259054.01459854015
456,256-2048,137700300.0,1018715.3284671532
457,256-8192,132758500.0,16076905.109489052
448,2048-128,313812100.0,53532.0
463,2048-128,13800800.0,53532.0
458,2048-2048,126856100.0,13044000.0
332,2048-8192,2845402200.0,208200000.0
466,256-128,162050300.0,5276.14598540146
469,256-256,102063100.0,18064.642335766424
474,256-1024,2304100.0,259054.01459854015
460,1024-256,284358100.0,86862.75862068965
440,1024-512,684951500.0,340165.5172413793
441,1024-512,664909400.0,340165.5172413793
465,1024-512,183731200.0,340165.5172413793
452,1024-1024,445957200.0,1345724.1379310344
475,1024-128,12900.0,22852.41379310345
467,1024-4096,165016100.0,21371724.137931034
471,1024-8192,149087100.0,85355862.06896552
476,256-256,50078100.0,18064.642335766424
464,512-512,292172900.0,113754.03141361257
470,512-1024,171551300.0,446058.6387434555
478,512-1024,11524200.0,446058.6387434555
468,512-8192,239271700.0,28052670.157068063
454,4096-256,521695600.0,456702.44215938303
459,4096-512,423033200.0,1794325.1928020567
455,4096-2048,530023700.0,28328084.832904886
483,4096-256,356800.0,456702.44215938303
443,4096-4096,856375000.0,113043766.06683806
445,4096-4096,874435300.0,113043766.06683806
487,1024-128,34270200.0,22852.41379310345
486,1024-512,54587500.0,340165.5172413793
480,1024-2048,179760800.0,5355379.310344827
485,2048-128,80741800.0,53532.0
479,2048-512,201584300.0,822960.0
481,2048-512,161633100.0,822960.0
472,2048-1024,344917800.0,3271200.0
477,2048-4096,293765100.0,52092000.0
484,512-2048,156422600.0,1765774.8691099477
488,512-8192,102624000.0,28052670.157068063
492,512-8192,27952700.0,28052670.157068063
490,256-4096,73028900.0,4035970.802919708
491,4096-1024,61141000.0,7112075.835475579
473,4096-4096,527301500.0,113043766.06683806
499,256-1024,8279800.0,259054.01459854015
494,1024-512,109622000.0,340165.5172413793
496,1024-512,69620000.0,340165.5172413793
493,1024-8192,214647500.0,85355862.06896552
498,1024-8192,114975900.0,85355862.06896552
502,512-128,35953000.0,8081.408376963351
501,512-256,55974600.0,29671.675392670157
497,512-1024,136422000.0,446058.6387434555
500,2048-128,77444600.0,53532.0
495,2048-2048,190466000.0,13044000.0
359,2048-8192,3110059700.0,208200000.0
506,256-128,166103900.0,5276.14598540146
514,256-256,6116700.0,18064.642335766424
503,256-1024,226903700.0,259054.01459854015
505,256-1024,186357700.0,259054.01459854015
513,4096-128,27476200.0,118402.44215938303
482,4096-4096,761191700.0,113043766.06683806
489,4096-4096,621156100.0,113043766.06683806
518,1024-128,40955700.0,22852.41379310345
512,1024-512,161860200.0,340165.5172413793
509,1024-4096,242891800.0,21371724.137931034
517,1024-4096,82327500.0,21371724.137931034
504,512-1024,344851200.0,446058.6387434555
508,512-2048,265680500.0,1765774.8691099477
516,512-2048,105093300.0,1765774.8691099477
511,512-8192,232413500.0,28052670.157068063
521,4096-256,33279100.0,456702.44215938303
520,4096-1024,59937500.0,7112075.835475579
515,4096-4096,266326900.0,113043766.06683806
519,4096-4096,192982200.0,113043766.06683806
523,256-512,113999800.0,66999.70802919708
527,256-8192,50009800.0,16076905.109489052
528,1024-256,31096700.0,86862.75862068965
524,1024-8192,196365700.0,85355862.06896552
530,512-512,77371800.0,113754.03141361257
525,512-2048,179131500.0,1765774.8691099477
529,512-4096,104383200.0,7028298.4293193715
534,256-128,5286800.0,5276.14598540146
531,1024-512,66631800.0,340165.5172413793
533,4096-1024,34743900.0,7112075.835475579
522,4096-4096,360828400.0,113043766.06683806
422,4096-8192,2709801600.0,451714652.95629823
555,512-128,45680100.0,8081.408376963351
535,512-2048,448369500.0,1765774.8691099477
541,512-2048,327437800.0,1765774.8691099477
546,512-2048,227445900.0,1765774.8691099477
554,512-4096,74466100.0,7028298.4293193715
550,256-256,155484200.0,18064.642335766424
536,256-1024,436656900.0,259054.01459854015
556,256-1024,35725200.0,259054.01459854015
557,256-1024,15725200.0,259054.01459854015
540,256-2048,356503000.0,1018715.3284671532
537,2048-128,418488300.0,53532.0
545,2048-128,257556600.0,53532.0
548,2048-256,197765100.0,208440.0
507,2048-2048,1033131500.0,13044000.0
526,2048-2048,652703400.0,13044000.0
549,4096-128,191927600.0,118402.44215938303
552,4096-128,131927600.0,118402.44215938303
538,4096-256,413316100.0,456702.44215938303
539,4096-256,393316100.0,456702.44215938303
450,4096-8192,2628454900.0,451714652.95629823
510,4096-8192,1426630000.0,451714652.95629823
575,512-128,124611700.0,8081.408376963351
578,512-1024,65049700.0,446058.6387434555
573,512-8192,192656300.0,28052670.157068063
563,2048-128,393709900.0,53532.0
576,2048-512,134479300.0,822960.0
580,2048-1024,56981100.0,3271200.0
542,2048-2048,828018800.0,13044000.0
547,2048-2048,730520600.0,13044000.0
579,4096-128,91143600.0,118402.44215938303
571,4096-256,251481900.0,456702.44215938303
574,4096-256,191600400.0,456702.44215938303
570,4096-1024,278594000.0,7112075.835475579
